0,1,2,3,4,5,6,7,8,9,10,11
Satılık,240 M2,1,4,Boş,02 Mayıs 2023,Konut,200 M2,4+2,Çatı Dubleks,Kombi Doğalgaz,2.200.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,100 M2,0 (Yeni),4,Boş,30 Nisan 2023,Konut,95 M2,2+1,1.Kat,Kombi Doğalgaz,1.450.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,250 M2,0 (Yeni),5,Boş,30 Nisan 2023,Konut,200 M2,4+2,Çatı Dubleks,Kombi Doğalgaz,2.350.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,100 M2,0 (Yeni),4,Boş,29 Nisan 2023,Konut,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,975.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,90 M2,0 (Yeni),8,Boş,29 Nisan 2023,Konut,80 M2,2+1,3.Kat,Kombi Doğalgaz,1.099.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,100 M2,0 (Yeni),5,Boş,29 Nisan 2023,Konut,85 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,900.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,110 M2,0 (Yeni),5,Boş,29 Nisan 2023,Konut,95 M2,2+1,3.Kat,Kombi Doğalgaz,1.350.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,110 M2,0 (Yeni),5,Boş,29 Nisan 2023,Konut,95 M2,2+1,3.Kat,Kombi Doğalgaz,1.400.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,80 M2,5-10,5,Kiracı Oturuyor,30 Nisan 2023,Konut,70 M2,1+1,3.Kat,Kombi Doğalgaz,935.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,105 M2,0 (Yeni),4,Boş,30 Nisan 2023,Konut,100 M2,2+1,1.Kat,Yerden Isıtma,1.700.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,105 M2,5-10,4,Kiracı Oturuyor,30 Nisan 2023,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz,1.165.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,120 M2,0 (Yeni),5,Boş,30 Nisan 2023,Konut,110 M2,2+1,1.Kat,Kombi Doğalgaz,1.700.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,100 M2,1,4,Kiracı Oturuyor,30 Nisan 2023,Konut,95 M2,2+1,1.Kat,Kombi Doğalgaz,1.200.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,80 M2,5-10,4,Kiracı Oturuyor,30 Nisan 2023,Konut,70 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,825.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,70 M2,4,4,Boş,30 Nisan 2023,Konut,60 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,765.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,95 M2,3,4,Kiracı Oturuyor,30 Nisan 2023,Konut,85 M2,2+1,3.Kat,Kombi Doğalgaz,995.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,110 M2,0 (Yeni),4,Boş,27 Nisan 2023,Konut,100 M2,2+1,1.Kat,Kombi Doğalgaz,1.500.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,110 M2,0 (Yeni),4,Boş,27 Nisan 2023,Konut,100 M2,2+1,3.Kat,Kombi Doğalgaz,1.450.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,100 M2,0 (Yeni),4,Boş,27 Nisan 2023,Konut,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,1.500.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,110 M2,0 (Yeni),4,Boş,27 Nisan 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,1.350.000
0,1,2,3,4,5,6,7,8,9,10,11
Satılık,95 M2,0 (Yeni),4,Boş,27 Nisan 2023,Konut,85 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,1.050.000
